2023-01-18 10:44:24.661115: finish training task7, epoch:6
2023-01-18 10:58:49.710103: finish training task7, epoch:7
2023-01-18 11:15:12.650507: finish training task7, epoch:8
2023-01-18 11:33:13.517710: finish training task7, epoch:9
2023-01-18 11:50:12.165365: finish training task7, epoch:10
2023-01-18 12:08:37.363135: finish training task7, epoch:11
2023-01-18 12:24:19.062814: finish training task7, epoch:12
2023-01-18 12:37:29.353489: finish training task7, epoch:13
2023-01-18 12:52:35.126674: finish training task7, epoch:14
2023-01-18 13:33:19.163281: finish training task8, epoch:1
2023-01-18 13:50:16.543036: finish training task8, epoch:2
2023-01-18 14:10:38.292832: finish training task8, epoch:3
2023-01-18 14:31:45.997025: finish training task8, epoch:4
2023-01-18 14:51:16.053297: finish training task8, epoch:5
2023-01-18 15:11:33.049053: finish training task8, epoch:6
2023-01-18 15:32:40.407386: finish training task8, epoch:7
2023-01-18 15:54:36.987063: finish training task8, epoch:8
2023-01-18 16:13:47.662387: finish training task8, epoch:9
2023-01-18 16:51:23.287580: finish training task9, epoch:1
2023-01-18 17:10:09.088820: finish training task9, epoch:2
2023-01-18 17:30:21.510952: finish training task9, epoch:3
2023-01-18 17:46:40.317938: finish training task9, epoch:4
2023-01-18 18:02:28.110445: finish training task9, epoch:5
2023-01-18 18:18:00.453347: finish training task9, epoch:6
2023-01-18 18:33:51.410056: finish training task9, epoch:7
2023-01-18 18:49:37.275770: finish training task9, epoch:8
2023-01-18 19:04:53.260953: finish training task9, epoch:9
2023-01-18 19:20:34.248164: finish training task9, epoch:10
2023-01-18 19:49:12.861651: finish training task10, epoch:1
2023-01-18 20:00:48.028474: finish training task10, epoch:2
2023-01-18 20:14:47.657202: finish training task10, epoch:3
2023-01-18 20:28:15.426256: finish training task10, epoch:4
2023-01-18 20:40:08.666036: finish training task10, epoch:5
2023-01-18 20:52:18.779140: finish training task10, epoch:6
2023-01-18 21:04:49.236710: finish training task10, epoch:7
2023-01-18 21:17:49.765088: finish training task10, epoch:8
2023-01-18 21:42:30.981631: finish training task11, epoch:1
2023-01-18 21:52:53.577147: finish training task11, epoch:2
2023-01-18 22:04:13.394541: finish training task11, epoch:3
2023-01-18 22:15:34.028534: finish training task11, epoch:4
2023-01-18 22:26:08.356564: finish training task11, epoch:5
2023-01-18 22:36:31.144640: finish training task11, epoch:6
2023-01-18 22:47:15.830811: finish training task11, epoch:7
2023-01-18 22:57:42.321128: finish training task11, epoch:8
2023-01-18 23:09:10.779144: finish training task11, epoch:9
2023-01-18 23:20:14.631646: finish training task11, epoch:10
2023-01-18 23:33:02.552390: finish training task11, epoch:11
2023-01-19 00:08:13.588735: finish training task12, epoch:1
2023-01-19 00:29:21.263732: finish training task12, epoch:2
2023-01-19 00:52:08.504380: finish training task12, epoch:3
2023-01-19 01:13:09.627933: finish training task12, epoch:4
2023-01-19 01:34:27.986107: finish training task12, epoch:5
2023-01-19 01:53:34.956166: finish training task12, epoch:6
2023-01-19 02:10:59.498577: finish training task12, epoch:7
2023-01-19 02:24:11.776723: finish training task12, epoch:8
2023-01-19 02:35:46.525473: finish training task12, epoch:9
2023-01-19 02:47:55.044141: finish training task12, epoch:10
2023-01-19 03:19:03.956787: finish training task13, epoch:1
2023-01-19 03:33:37.915769: finish training task13, epoch:2
2023-01-19 03:47:40.985107: finish training task13, epoch:3
2023-01-19 04:01:22.278316: finish training task13, epoch:4
2023-01-19 04:13:10.151354: finish training task13, epoch:5
2023-01-19 04:24:34.431678: finish training task13, epoch:6
2023-01-19 04:37:45.164196: finish training task13, epoch:7
2023-01-19 04:54:27.164851: finish training task13, epoch:8
2023-01-19 05:11:33.302644: finish training task13, epoch:9
2023-01-19 06:00:34.557116: finish training task14, epoch:1
2023-01-19 06:28:59.601665: finish training task14, epoch:2
2023-01-19 06:58:00.210368: finish training task14, epoch:3
2023-01-19 07:24:18.431347: finish training task14, epoch:4
2023-01-19 07:47:26.484059: finish training task14, epoch:5
2023-01-19 08:11:39.363585: finish training task14, epoch:6
2023-01-19 08:33:25.475361: finish training task14, epoch:7
2023-01-19 08:57:06.054569: finish training task14, epoch:8
2023-01-19 09:21:37.769810: finish training task14, epoch:9
2023-01-19 09:43:40.238380: finish training task14, epoch:10
2023-01-19 10:02:38.931221: finish training task14, epoch:11
2023-01-19 10:20:28.594868: finish training task14, epoch:12
2023-01-19 10:39:24.129175: finish training task14, epoch:13
2023-01-19 10:59:44.217763: finish training task14, epoch:14
2023-01-19 11:19:35.459130: finish training task14, epoch:15
2023-01-19 11:43:11.843259: finish training task14, epoch:16
2023-01-19 12:09:17.013991: finish training task14, epoch:17
2023-01-19 12:32:12.842468: finish training task14, epoch:18
2023-01-19 12:55:34.136918: finish training task14, epoch:19
2023-01-19 13:17:53.193155: finish training task14, epoch:20
2023-01-19 14:03:34.784515: finish training task15, epoch:1
2023-01-19 14:23:22.087967: finish training task15, epoch:2
2023-01-19 14:44:27.687634: finish training task15, epoch:3
2023-01-19 15:07:05.600470: finish training task15, epoch:4
2023-01-19 15:28:04.901072: finish training task15, epoch:5
2023-01-19 15:52:54.043069: finish training task15, epoch:6
2023-01-19 16:18:23.905819: finish training task15, epoch:7
2023-01-19 16:48:06.375354: finish training task15, epoch:8
2023-01-19 17:16:55.904298: finish training task15, epoch:9
